Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,21993.359375,22189.310547,21883.820313,22150.400391,22150.400391,1302378400
2017-01-04,22201.080078,22228.060547,22076.630859,22134.470703,22134.470703,1437672200
2017-01-05,22302.640625,22483.009766,22230.310547,22456.689453,22456.689453,1830652300
2017-01-06,22583.289063,22605.660156,22445.779297,22503.009766,22503.009766,1389973700
2017-01-09,22561.109375,22626.429688,22476.349609,22558.689453,22558.689453,1303532900
2017-01-10,22561.169922,22744.849609,22549.859375,22744.849609,22744.849609,1422515900
2017-01-11,22816.009766,22944.580078,22767.369141,22935.349609,22935.349609,1554104200
2017-01-12,22956.439453,22971.490234,22751.669922,22829.019531,22829.019531,1454667000
2017-01-13,22879.570313,22971.449219,22859.279297,22937.380859,22937.380859,1371840300
2017-01-16,22895.359375,22908.859375,22657.349609,22718.150391,22718.150391,1313357700
2017-01-17,22819.869141,22867.839844,22710.929688,22840.970703,22840.970703,1019618000
2017-01-18,22889.330078,23151.750000,22882.019531,23098.259766,23098.259766,1689344500
2017-01-19,23104.349609,23104.349609,22941.960938,23049.960938,23049.960938,1174126300
2017-01-20,22966.529297,22987.679688,22858.250000,22885.910156,22885.910156,1207476100
2017-01-23,22926.300781,23068.080078,22861.289063,22898.519531,22898.519531,1068403800
2017-01-24,22965.250000,22986.449219,22907.779297,22949.859375,22949.859375,1462887100
2017-01-25,23066.400391,23066.400391,22961.380859,23049.119141,23049.119141,1185813200
2017-01-26,23173.460938,23386.410156,23145.310547,23374.169922,23374.169922,1856554500
2017-01-27,23339.150391,23397.089844,23307.050781,23360.779297,23360.779297,777897700
2017-02-01,23211.880859,23318.390625,23082.619141,23318.390625,23318.390625,1515037600
2017-02-02,23309.460938,23439.019531,23131.369141,23184.519531,23184.519531,987795900
2017-02-03,23216.970703,23226.919922,22997.460938,23129.210938,23129.210938,1339282100
2017-02-06,23239.289063,23348.240234,23149.699219,23348.240234,23348.240234,1439947300
2017-02-07,23287.890625,23403.599609,23256.689453,23331.570313,23331.570313,1523355600
2017-02-08,23284.759766,23520.769531,23160.990234,23485.130859,23485.130859,2601105500
2017-02-09,23533.519531,23644.630859,23489.650391,23525.140625,23525.140625,2741007400
2017-02-10,23645.900391,23718.470703,23573.849609,23574.980469,23574.980469,2143167300
2017-02-13,23664.529297,23751.919922,23615.390625,23710.980469,23710.980469,1990274600
2017-02-14,23695.289063,23735.109375,23614.470703,23703.009766,23703.009766,1957113500
2017-02-15,23771.949219,24067.619141,23771.949219,23994.869141,23994.869141,3843901700
2017-02-16,24139.310547,24161.390625,23969.570313,24107.699219,24107.699219,3806666400
2017-02-17,24077.869141,24106.339844,23944.679688,24033.740234,24033.740234,2302691000
2017-02-20,24066.000000,24202.339844,24022.150391,24146.080078,24146.080078,1936955000
2017-02-21,24174.109375,24213.640625,23909.150391,23963.630859,23963.630859,1839886700
2017-02-22,24059.089844,24201.960938,23999.550781,24201.960938,24201.960938,2230148000
2017-02-23,24122.179688,24216.529297,24046.910156,24114.859375,24114.859375,1880958700
2017-02-24,24115.609375,24121.910156,23958.130859,23965.699219,23965.699219,1750717000
2017-02-27,23941.810547,24067.679688,23822.880859,23925.050781,23925.050781,1727456200
2017-02-28,23952.640625,24007.810547,23740.730469,23740.730469,23740.730469,1666247300
2017-03-01,23849.220703,23857.279297,23730.050781,23776.490234,23776.490234,1648831300
2017-03-02,24044.480469,24080.869141,23694.330078,23728.070313,23728.070313,2111361200
2017-03-03,23618.359375,23635.240234,23511.599609,23552.720703,23552.720703,2387983900
2017-03-06,23600.490234,23691.050781,23574.279297,23596.279297,23596.279297,1442731400
2017-03-07,23630.349609,23728.000000,23585.769531,23681.070313,23681.070313,1282674500
2017-03-08,23627.279297,23816.230469,23563.140625,23782.269531,23782.269531,1823218000
2017-03-09,23667.769531,23673.580078,23456.060547,23501.560547,23501.560547,1781279500
2017-03-10,23534.980469,23603.769531,23438.859375,23568.669922,23568.669922,1534086200
2017-03-13,23643.300781,23877.589844,23567.929688,23829.669922,23829.669922,2016201800
2017-03-14,23871.000000,23918.119141,23768.339844,23827.949219,23827.949219,1857167800
2017-03-15,23705.070313,23842.810547,23645.509766,23792.849609,23792.849609,1352441800
2017-03-16,24101.980469,24288.279297,24003.750000,24288.279297,24288.279297,2576719000
2017-03-17,24376.130859,24385.810547,24237.970703,24309.929688,24309.929688,2512650300
2017-03-20,24312.570313,24501.990234,24312.570313,24501.990234,24501.990234,1716660600
2017-03-21,24565.730469,24656.650391,24500.349609,24593.119141,24593.119141,2055170800
2017-03-22,24336.330078,24380.419922,24207.099609,24320.410156,24320.410156,2136581500
2017-03-23,24381.039063,24466.730469,24271.259766,24327.699219,24327.699219,1795481600
2017-03-24,24396.410156,24420.769531,24263.169922,24358.269531,24358.269531,1784280200
2017-03-27,24235.689453,24434.900391,24138.779297,24193.699219,24193.699219,1730336000
2017-03-28,24329.169922,24360.000000,24274.519531,24345.869141,24345.869141,1506216800
2017-03-29,24470.660156,24470.660156,24330.699219,24392.050781,24392.050781,1834977400
2017-03-30,24429.119141,24431.119141,24250.400391,24301.089844,24301.089844,1768917100
2017-03-31,24305.529297,24329.980469,24105.380859,24111.589844,24111.589844,1733165500
2017-04-03,24236.560547,24261.480469,24162.550781,24261.480469,24261.480469,1708951000
2017-04-05,24370.949219,24400.800781,24166.009766,24400.800781,24400.800781,2697900400
2017-04-06,24310.410156,24381.630859,24210.689453,24273.720703,24273.720703,1722179300
2017-04-07,24247.009766,24268.390625,23982.400391,24267.300781,24267.300781,2253021500
